"order_id","sales","profit","quantity","discount","country","state","city","postal_code","customer_name","product_name","category","sub_category","segment","shipping_mode","dt_order","dt_ship","year_order","year_ship","quarter_order","quarter_ship","month_order","month_ship","week_order","week_ship","week_day_order","week_day_ship"
CA-2019-108553,121.9400,35.3626000000000000,2,0.00,United States,New York,New York City,"10024",Sally Knutson,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Office Supplies,Appliances,Consumer,Standard Class,2019-04-23,2019-04-29,2019,2019,2,2,4,4,17,18,tue,mon
CA-2019-135069,195.1040,21.9492000000000000,4,0.20,United States,Pennsylvania,Philadelphia,"19143",Bruce Stewart,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Office Supplies,Appliances,Consumer,Standard Class,2019-04-10,2019-04-14,2019,2019,2,2,4,4,15,15,wed,sun
CA-2019-152695,426.7900,123.7691000000000000,7,0.00,United States,Connecticut,Fairfield,"6824",Chris Cortes,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Office Supplies,Appliances,Consumer,Same Day,2019-12-10,2019-12-10,2019,2019,4,4,12,12,50,50,tue,tue
CA-2017-132318,182.9100,53.0439000000000000,3,0.00,United States,Virginia,Virginia Beach,"23464",Thomas Thornton,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Office Supplies,Appliances,Consumer,First Class,2017-10-30,2017-11-02,2017,2017,4,4,10,11,44,44,mon,thu
US-2017-137008,51.1200,23.0040000000000000,4,0.00,United States,New Jersey,Lakewood,"8701",Jennifer Patt,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,Corporate,Standard Class,2017-10-02,2017-10-08,2017,2017,4,4,10,10,40,40,mon,sun
CA-2019-142034,655.9000,275.4780000000000000,5,0.00,United States,Minnesota,Saint Cloud,"56301",Karen Bern,Imation Bio 2GB USB Flash Drive Imation Corp,Technology,Accessories,Corporate,Standard Class,2019-09-24,2019-09-28,2019,2019,3,3,9,9,39,39,tue,sat
CA-2018-119186,63.9920,-7.1991000000000000,1,0.20,United States,Texas,Fort Worth,"76106",Maurice Satty,Logitech G13 Programmable Gameboard with LCD Display,Technology,Accessories,Consumer,Same Day,2018-05-26,2018-05-26,2018,2018,2,2,5,5,21,21,sat,sat
CA-2017-106187,75.0000,18.0000000000000000,3,0.00,United States,Georgia,East Point,"30344",Randy Ferguson,Dell Slim USB Multimedia Keyboard,Technology,Accessories,Corporate,Standard Class,2017-06-23,2017-06-29,2017,2017,2,2,6,6,25,26,fri,thu
CA-2019-155712,107.6480,33.6400000000000000,2,0.20,United States,California,Los Angeles,"90008",Ken Dana,Catalog Binders with Expanding Posts,Office Supplies,Binders,Corporate,Standard Class,2019-03-02,2019-03-08,2019,2019,1,1,3,3,9,10,sat,fri
CA-2019-103478,94.1920,-164.8360000000000000,7,0.80,United States,Illinois,Aurora,"60505",Kelly Lampkin,Catalog Binders with Expanding Posts,Office Supplies,Binders,Corporate,Second Class,2019-07-21,2019-07-24,2019,2019,3,3,7,7,29,30,sun,wed
CA-2018-162138,99.9900,34.9965000000000000,1,0.00,United States,California,Hesperia,"92345",Grace Kelly,Logitech Wireless Headset h800,Technology,Accessories,Corporate,Standard Class,2018-04-23,2018-04-27,2018,2018,2,2,4,4,17,17,mon,fri
CA-2019-102834,199.9800,69.9930000000000000,2,0.00,United States,California,San Francisco,"94110",Lindsay Williams,Logitech Wireless Headset h800,Technology,Accessories,Corporate,Standard Class,2019-03-09,2019-03-13,2019,2019,1,1,3,3,10,11,sat,wed
US-2018-124163,499.9500,174.9825000000000000,5,0.00,United States,Wisconsin,La Crosse,"54601",Steve Chapman,Logitech Wireless Headset h800,Technology,Accessories,Corporate,Standard Class,2018-09-25,2018-09-30,2018,2018,3,3,9,9,39,39,tue,sun
CA-2019-130036,1119.8880,209.9790000000000000,14,0.20,United States,Pennsylvania,Philadelphia,"19120",Ben Peterman,Logitech Wireless Headset h800,Technology,Accessories,Corporate,Same Day,2019-08-27,2019-08-27,2019,2019,3,3,8,8,35,35,tue,tue
CA-2016-153150,19.9200,6.9720000000000000,5,0.20,United States,Washington,Seattle,"98105",Dorris liebe,Cardinal Holdit Business Card Pockets,Office Supplies,Binders,Corporate,Second Class,2016-07-01,2016-07-06,2016,2016,3,3,7,7,26,27,fri,wed
US-2019-119816,103.5000,-77.6250000000000000,5,0.60,United States,Texas,Houston,"77095",Tonja Turnell,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,Home Office,Second Class,2019-03-04,2019-03-06,2019,2019,1,1,3,3,10,10,mon,wed
CA-2018-157763,140.8100,39.4268000000000000,1,0.00,United States,Kentucky,Bowling Green,"42104",Katharine Harms,Hon Olson Stacker Stools,Furniture,Chairs,Corporate,Standard Class,2018-07-18,2018-07-23,2018,2018,3,3,7,7,29,30,wed,mon
CA-2018-100944,563.2400,56.3240000000000000,5,0.20,United States,California,Los Angeles,"90049",Edward Hooks,Hon Olson Stacker Stools,Furniture,Chairs,Corporate,Standard Class,2018-09-24,2018-09-28,2018,2018,3,3,9,9,39,39,mon,fri
CA-2016-153913,1013.8320,101.3832000000000000,9,0.20,United States,Florida,Hialeah,"33012",Ken Black,Hon Olson Stacker Stools,Furniture,Chairs,Corporate,Second Class,2016-12-16,2016-12-20,2016,2016,4,4,12,12,50,51,fri,tue
CA-2016-168130,887.1030,177.4206000000000000,7,0.10,United States,New York,New York City,"10011",Bill Shonely,Hon Olson Stacker Stools,Furniture,Chairs,Corporate,Same Day,2016-09-19,2016-09-19,2016,2016,3,3,9,9,38,38,mon,mon
CA-2019-127782,8.8560,2.8782000000000000,3,0.20,United States,Pennsylvania,Philadelphia,"19140",Thea Hudgings,Colored Envelopes,Office Supplies,Envelopes,Corporate,Standard Class,2019-11-02,2019-11-06,2019,2019,4,4,11,11,44,45,sat,wed
CA-2019-118360,42.9300,19.3185000000000000,9,0.00,United States,New York,New York City,"10011",John Castell,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",Office Supplies,Paper,Consumer,Standard Class,2019-04-01,2019-04-07,2019,2019,2,2,4,4,14,14,mon,sun
CA-2019-106047,3.8160,1.1925000000000000,1,0.20,United States,Ohio,Fairfield,"45014",Cari Schnelling,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",Office Supplies,Paper,Consumer,Standard Class,2019-07-12,2019-07-18,2019,2019,3,3,7,7,28,29,fri,thu
US-2018-117037,30.5280,9.5400000000000000,8,0.20,United States,Illinois,Chicago,"60653",Luke Weiss,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",Office Supplies,Paper,Consumer,First Class,2018-05-17,2018-05-20,2018,2018,2,2,5,5,20,20,thu,sun
CA-2018-134334,4.7700,2.1465000000000000,1,0.00,United States,Maryland,Clinton,"20735",Dave Kipp,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",Office Supplies,Paper,Consumer,First Class,2018-02-14,2018-02-15,2018,2018,1,1,2,2,7,7,wed,thu
US-2017-130491,9.5400,4.2930000000000000,2,0.00,United States,Kansas,Garden City,"67846",Brosina Hoffman,"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",Office Supplies,Paper,Consumer,First Class,2017-02-08,2017-02-11,2017,2017,1,1,2,2,6,6,wed,sat
CA-2016-133704,43.9200,11.8584000000000000,4,0.00,United States,California,Los Angeles,"90004",Michelle Arnett,Staple holder,Office Supplies,Appliances,Home Office,Standard Class,2016-09-20,2016-09-26,2016,2016,3,3,9,9,38,39,tue,mon
CA-2016-166961,10.9800,2.9646000000000000,1,0.00,United States,California,Moreno Valley,"92553",Cynthia Delaney,Staple holder,Office Supplies,Appliances,Home Office,Standard Class,2016-12-27,2016-12-31,2016,2016,4,4,12,12,52,52,tue,sat
CA-2019-159597,63.5600,3.1780000000000000,2,0.00,United States,California,Coachella,"92236",Matt Collister,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",Office Supplies,Storage,Corporate,Standard Class,2019-11-09,2019-11-14,2019,2019,4,4,11,11,45,46,sat,thu
CA-2016-106439,80.3000,20.8780000000000000,5,0.00,United States,California,Los Angeles,"90049",Greg Guthrie,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Office Supplies,Storage,Corporate,Standard Class,2016-10-31,2016-11-04,2016,2016,4,4,10,11,44,44,mon,fri
CA-2019-141747,16.0600,4.1756000000000000,1,0.00,United States,Washington,Seattle,"98105",Scot Coram,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Office Supplies,Storage,Corporate,Second Class,2019-08-03,2019-08-08,2019,2019,3,3,8,8,31,32,sat,thu
CA-2019-137323,96.3600,25.0536000000000000,6,0.00,United States,New York,Watertown,"13601",Pauline Webber,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Office Supplies,Storage,Corporate,Second Class,2019-11-14,2019-11-18,2019,2019,4,4,11,11,46,47,thu,mon
CA-2017-120810,128.8200,50.2398000000000000,3,0.00,United States,New York,New York City,"10009",Tracy Hopkins,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furniture,Furnishings,Home Office,Standard Class,2017-07-23,2017-07-27,2017,2017,3,3,7,7,29,30,sun,thu
CA-2019-135937,68.7040,16.3172000000000000,2,0.20,United States,Arizona,Gilbert,"85234",Katherine Murray,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furniture,Furnishings,Home Office,Standard Class,2019-02-20,2019-02-27,2019,2019,1,1,2,2,8,9,wed,wed
CA-2018-129238,109.5920,8.2194000000000000,1,0.20,United States,California,Los Angeles,"90045",Sample Company A,AT&T 1080 Phone,Technology,Phones,Home Office,Standard Class,2018-01-31,2018-02-04,2018,2018,1,1,1,2,5,5,wed,sun
US-2017-164308,821.9400,213.7044000000000000,6,0.00,United States,Oklahoma,Broken Arrow,"74012",Steve Carroll,AT&T 1080 Phone,Technology,Phones,Home Office,First Class,2017-09-24,2017-09-27,2017,2017,3,3,9,9,38,39,sun,wed
US-2017-123960,56.3000,15.7640000000000000,2,0.00,United States,Louisiana,Monroe,"71203",Brian Dahlen,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,Art,Consumer,Standard Class,2017-06-11,2017-06-16,2017,2017,2,2,6,6,23,24,sun,fri
CA-2016-165309,67.5600,6.7560000000000000,3,0.20,United States,Texas,Houston,"77095",Karen Daniels,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,Art,Consumer,Standard Class,2016-11-11,2016-11-15,2016,2016,4,4,11,11,45,46,fri,tue
US-2019-136679,45.0400,4.5040000000000000,2,0.20,United States,Texas,Pasadena,"77506",Xylona Preis,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,Art,Consumer,Standard Class,2019-11-14,2019-11-18,2019,2019,4,4,11,11,46,47,thu,mon
CA-2017-142937,45.0400,4.5040000000000000,2,0.20,United States,Texas,Dallas,"75220",Sandra Flanagan,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,Art,Consumer,First Class,2017-12-05,2017-12-06,2017,2017,4,4,12,12,49,49,tue,wed
CA-2017-124800,263.9600,23.0965000000000000,5,0.20,United States,Arizona,Mesa,"85204",Rick Wilson,Samsung Rugby III,Technology,Phones,Corporate,Standard Class,2017-09-26,2017-09-30,2017,2017,3,3,9,9,39,39,tue,sat
CA-2017-116687,158.3760,13.8579000000000000,3,0.20,United States,Texas,Houston,"77095",Noah Childs,Samsung Rugby III,Technology,Phones,Corporate,Standard Class,2017-05-02,2017-05-07,2017,2017,2,2,5,5,18,18,tue,sun
CA-2018-140438,197.9700,53.4519000000000000,3,0.00,United States,New York,New York City,"10009",Pauline Webber,Samsung Rugby III,Technology,Phones,Corporate,Second Class,2018-12-24,2018-12-27,2018,2018,4,4,12,12,52,52,mon,thu
CA-2016-134726,52.7920,4.6193000000000000,1,0.20,United States,Washington,Seattle,"98115",Steven Ward,Samsung Rugby III,Technology,Phones,Corporate,Second Class,2016-11-02,2016-11-07,2016,2016,4,4,11,11,44,45,wed,mon
CA-2018-164896,12.9000,6.3210000000000000,2,0.00,United States,California,Oceanside,"92054",Penelope Sewall,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Office Supplies,Paper,Home Office,Standard Class,2018-11-07,2018-11-12,2018,2018,4,4,11,11,45,46,wed,mon
US-2019-111024,30.9600,11.2230000000000000,6,0.20,United States,Ohio,Lancaster,"43130",Sam Zeldin,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Office Supplies,Paper,Home Office,Second Class,2019-07-03,2019-07-06,2019,2019,3,3,7,7,27,27,wed,sat
CA-2018-158575,103.9680,16.8948000000000000,6,0.20,United States,Ohio,Kent,"44240",Sean Braxton,Holmes 99% HEPA Air Purifier,Office Supplies,Appliances,Corporate,Standard Class,2018-11-18,2018-11-24,2018,2018,4,4,11,11,46,47,sun,sat
US-2018-146794,424.9575,19.9980000000000000,5,0.15,United States,California,Hesperia,"92345",Sally Hughsby,Bestar Classic Bookcase,Furniture,Bookcases,Corporate,Standard Class,2018-09-26,2018-10-01,2018,2018,3,4,9,10,39,40,wed,mon
US-2016-159618,67.9932,-12.9987000000000000,1,0.32,United States,Texas,Houston,"77036",Darren Budd,Bestar Classic Bookcase,Furniture,Bookcases,Corporate,Standard Class,2016-11-12,2016-11-16,2016,2016,4,4,11,11,45,46,sat,wed
US-2019-139647,209.9790,-356.9643000000000000,7,0.70,United States,Arizona,Phoenix,"85023",Todd Sumrall,Bestar Classic Bookcase,Furniture,Bookcases,Corporate,First Class,2019-05-11,2019-05-13,2019,2019,2,2,5,5,19,20,sat,mon
CA-2017-111780,1199.9600,224.9925000000000000,5,0.20,United States,California,San Diego,"92037",Ralph Arnett,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Technology,Copiers,Consumer,Second Class,2017-12-25,2017-12-30,2017,2017,4,4,12,12,52,52,mon,sat
CA-2016-124618,479.9840,89.9970000000000000,2,0.20,United States,Florida,Lakeland,"33801",Cari Schnelling,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Technology,Copiers,Consumer,Second Class,2016-05-02,2016-05-04,2016,2016,2,2,5,5,18,18,mon,wed
CA-2017-112452,599.9800,209.9930000000000000,2,0.00,United States,Michigan,Lansing,"48911",Nat Carroll,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Technology,Copiers,Consumer,Same Day,2017-04-04,2017-04-04,2017,2017,2,2,4,4,14,14,tue,tue
CA-2017-104346,58.0800,-6.5340000000000000,4,0.20,United States,Colorado,Colorado Springs,"80906",Irene Maddox,Logitech Keyboard K120,Technology,Accessories,Consumer,Standard Class,2017-12-11,2017-12-16,2017,2017,4,4,12,12,50,50,mon,sat
CA-2017-101868,72.6000,-8.1674999999999900,5,0.20,United States,Florida,Miami,"33178",Max Jones,Logitech Keyboard K120,Technology,Accessories,Consumer,Standard Class,2017-06-09,2017-06-16,2017,2017,2,2,6,6,23,24,fri,fri
CA-2017-146675,43.5600,-4.9005000000000000,3,0.20,United States,Illinois,Evanston,"60201",Sarah Brown,Logitech Keyboard K120,Technology,Accessories,Consumer,Standard Class,2017-04-16,2017-04-20,2017,2017,2,2,4,4,15,16,sun,thu
US-2016-112991,338.3520,4.2293999999999700,3,0.20,United States,Idaho,Caldwell,"83605",Sally Hughsby,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,Corporate,Standard Class,2016-12-10,2016-12-14,2016,2016,4,4,12,12,49,50,sat,wed
CA-2018-162943,253.7640,31.0156000000000000,2,0.10,United States,New York,New York City,"10035",Darren Budd,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Furniture,Chairs,Corporate,Second Class,2018-07-24,2018-07-26,2018,2018,3,3,7,7,30,30,tue,thu
CA-2019-121839,1169.6940,-253.4337000000000000,3,0.40,United States,Ohio,Lancaster,"43130",Mick Hernandez,Apple iPhone 5,Technology,Phones,Home Office,Standard Class,2019-09-24,2019-09-28,2019,2019,3,3,9,9,39,39,tue,sat
CA-2018-159016,4158.9120,363.9048000000000000,8,0.20,United States,California,Los Angeles,"90008",Karen Ferguson,Apple iPhone 5,Technology,Phones,Home Office,First Class,2018-03-10,2018-03-11,2018,2018,1,1,3,3,10,10,sat,sun
CA-2018-106950,309.4560,34.8137999999999000,9,0.20,United States,North Carolina,Charlotte,"28205",Joe Elijah,Belkin F9M820V08 8 Outlet Surge,Office Supplies,Appliances,Consumer,Standard Class,2018-09-02,2018-09-06,2018,2018,3,3,9,9,35,36,sun,thu
US-2019-167920,214.9000,62.3210000000000000,5,0.00,United States,Kentucky,Richmond,"40475",John Lee,Belkin F9M820V08 8 Outlet Surge,Office Supplies,Appliances,Consumer,Second Class,2019-12-09,2019-12-12,2019,2019,4,4,12,12,50,50,mon,thu
CA-2019-167752,34.3840,3.8681999999999900,1,0.20,United States,Pennsylvania,Philadelphia,"19134",Robert Waldorf,Belkin F9M820V08 8 Outlet Surge,Office Supplies,Appliances,Consumer,First Class,2019-01-15,2019-01-18,2019,2019,1,1,1,1,3,3,tue,fri
CA-2017-131534,33.4000,16.0320000000000000,5,0.00,United States,California,Los Angeles,"90036",Alan Barnes,Xerox 1977,Office Supplies,Paper,Consumer,Standard Class,2017-03-28,2017-04-02,2017,2017,1,2,3,4,13,13,tue,sun
CA-2019-143294,10.6880,3.7408000000000000,2,0.20,United States,Texas,Houston,"77070",John Dryer,Xerox 1977,Office Supplies,Paper,Consumer,Standard Class,2019-06-02,2019-06-08,2019,2019,2,2,6,6,22,23,sun,sat
CA-2016-102673,10.2720,0.8988000000000000,3,0.20,United States,North Carolina,Charlotte,"28205",Ken Heidel,Newell 320,Office Supplies,Art,Corporate,Standard Class,2016-11-01,2016-11-05,2016,2016,4,4,11,11,44,44,tue,sat
CA-2017-107468,6.8480,0.5992000000000000,2,0.20,United States,Colorado,Louisville,"80027",Michael Kennedy,Newell 320,Office Supplies,Art,Corporate,Standard Class,2017-12-18,2017-12-22,2017,2017,4,4,12,12,51,51,mon,fri
US-2017-161466,6.8480,0.5992000000000000,2,0.20,United States,Pennsylvania,Philadelphia,"19120",Odella Nelson,Newell 320,Office Supplies,Art,Corporate,Second Class,2017-09-24,2017-09-27,2017,2017,3,3,9,9,38,39,sun,wed
CA-2016-143336,213.4800,16.0110000000000000,3,0.20,United States,California,San Francisco,"94109",Zuschuss Donatelli,Cisco SPA 501G IP Phone,Technology,Phones,Consumer,Second Class,2016-08-27,2016-09-01,2016,2016,3,3,8,9,34,35,sat,thu
US-2019-118038,1.2480,-1.9344000000000000,3,0.80,United States,Texas,Houston,"77041",Ken Brennan,Economy Binders,Office Supplies,Binders,Corporate,First Class,2019-12-09,2019-12-11,2019,2019,4,4,12,12,50,50,mon,wed
US-2018-103674,271.9600,27.1960000000000000,5,0.20,United States,California,Los Angeles,"90032",Anne Pryor,Avaya 5410 Digital phone,Technology,Phones,Home Office,Standard Class,2018-12-06,2018-12-10,2018,2018,4,4,12,12,49,50,thu,mon
US-2019-166324,122.3820,-24.4764000000000000,3,0.40,United States,Ohio,Cleveland,"44105",Brad Eason,Avaya 5410 Digital phone,Technology,Phones,Home Office,First Class,2019-04-20,2019-04-21,2019,2019,2,2,4,4,16,16,sat,sun
CA-2018-109176,9.3440,3.5040000000000000,1,0.20,United States,Pennsylvania,Philadelphia,"19140",Julia West,Staple envelope,Office Supplies,Envelopes,Consumer,Standard Class,2018-05-09,2018-05-15,2018,2018,2,2,5,5,19,20,wed,tue
CA-2019-143063,70.0800,35.0400000000000000,6,0.00,United States,Indiana,Columbus,"47201",Ivan Liston,Staple envelope,Office Supplies,Envelopes,Consumer,Standard Class,2019-08-10,2019-08-15,2019,2019,3,3,8,8,32,33,sat,thu
CA-2018-165015,46.7200,17.5200000000000000,5,0.20,United States,Ohio,Newark,"43055",Bruce Degenhardt,Staple envelope,Office Supplies,Envelopes,Consumer,Second Class,2018-02-25,2018-02-27,2018,2018,1,1,2,2,8,9,sun,tue
CA-2016-127166,56.0640,21.0240000000000000,6,0.20,United States,Texas,Houston,"77070",Katherine Hughes,Staple envelope,Office Supplies,Envelopes,Consumer,Second Class,2016-05-21,2016-05-23,2016,2016,2,2,5,5,20,21,sat,mon
CA-2019-101700,18.6880,7.0080000000000000,2,0.20,United States,Colorado,Greeley,"80634",Sean O'Donnell,Staple envelope,Office Supplies,Envelopes,Consumer,First Class,2019-04-23,2019-04-26,2019,2019,2,2,4,4,17,17,tue,fri
CA-2016-138317,44.4160,3.8864000000000000,2,0.20,United States,Pennsylvania,Philadelphia,"19120",Natalie Webber,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,Office Supplies,Appliances,Consumer,Standard Class,2016-06-21,2016-06-25,2016,2016,2,2,6,6,25,25,tue,sat
CA-2017-127453,88.8320,7.7728000000000000,4,0.20,United States,Pennsylvania,Philadelphia,"19143",Jay Kimmel,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,Office Supplies,Appliances,Consumer,First Class,2017-12-19,2017-12-20,2017,2017,4,4,12,12,51,51,tue,wed
CA-2018-145177,22.2480,7.5087000000000000,3,0.20,United States,Ohio,Springfield,"45503",Paul Prost,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,Home Office,Standard Class,2018-11-10,2018-11-14,2018,2018,4,4,11,11,45,46,sat,wed
CA-2017-150511,18.5400,8.7138000000000000,2,0.00,United States,Washington,Des Moines,"98198",Adam Bellavance,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,Home Office,Standard Class,2017-09-18,2017-09-24,2017,2017,3,3,9,9,38,38,mon,sun
CA-2017-110324,18.5400,8.7138000000000000,2,0.00,United States,Michigan,Jackson,"49201",Matt Abelman,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,Home Office,Standard Class,2017-12-01,2017-12-05,2017,2017,4,4,12,12,48,49,fri,tue
US-2016-143287,46.3500,21.7845000000000000,5,0.00,United States,New York,New Rochelle,"10801",Kristina Nunn,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,Home Office,Standard Class,2016-11-11,2016-11-17,2016,2016,4,4,11,11,45,46,fri,thu
CA-2018-159142,27.8100,13.0707000000000000,3,0.00,United States,Virginia,Springfield,"22153",Maria Etezadi,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,Home Office,First Class,2018-04-04,2018-04-05,2018,2018,2,2,4,4,14,14,wed,thu
CA-2017-153717,3.2800,0.9512000000000000,1,0.00,United States,Michigan,Detroit,"48227",Dionis Lloyd,Newell 351,Office Supplies,Art,Corporate,Standard Class,2017-12-25,2018-01-01,2017,2018,4,1,12,1,52,1,mon,mon
CA-2018-106621,10.4960,1.1808000000000000,4,0.20,United States,Arizona,Yuma,"85364",Dario Medina,Newell 351,Office Supplies,Art,Corporate,Second Class,2018-09-29,2018-10-01,2018,2018,3,4,9,10,39,40,sat,mon
US-2016-155502,187.9800,52.6344000000000000,2,0.00,United States,Virginia,Alexandria,"22304",Shirley Daniels,Jabra SPEAK 410,Technology,Phones,Home Office,Standard Class,2016-01-26,2016-01-31,2016,2016,1,1,1,1,4,4,tue,sun
CA-2018-139395,657.9300,184.2204000000000000,7,0.00,United States,Michigan,Jackson,"49201",Matthew Grinstein,Jabra SPEAK 410,Technology,Phones,Home Office,Standard Class,2018-12-12,2018-12-18,2018,2018,4,4,12,12,50,51,wed,tue
